CM_smpl1_suction_kPa,CM_smpl1_VWC_percent,CM_smpl2_suction_kPa,CM_smpl2_VWC_percent,CM_smpl3_suction_kPa,CM_smpl3_VWC_percent,CM_smpl4_suction_kPa,CM_smpl4_VWC_percent,CM_smpl5_suction_kPa,CM_smpl5_VWC_percent,CM_smpl6_suction_kPa,CM_smpl6_VWC_percent,CM_smpl7_suction_kPa,CM_smpl7_VWC_percent,CM_smpl8_suction_kPa,CM_smpl8_VWC_percent,CM_smpl9_suction_kPa,CM_smpl9_VWC_percent,CM_smpl10_suction_kPa,CM_smpl10_VWC_percent,CM_smpl11_suction_kPa,CM_smpl11_VWC_percent,CM_smpl12_suction_kPa,CM_smpl12_VWC_percent,CM_smpl13_suction_kPa,CM_smpl13_VWC_percent,CM_smpl14_suction_kPa,CM_smpl14_VWC_percent,AB_smpl1_suction_kPa,AB_smpl1_VWC_percent,AB_smpl2_suction_kPa,AB_smpl2_VWC_percent,AB_smpl3_suction_kPa,AB_smpl3_VWC_percent,AB_smpl4_suction_kPa,AB_smpl4_VWC_percent,AB_smpl5_suction_kPa,AB_smpl5_VWC_percent,AB_smpl6_suction_kPa,AB_smpl6_VWC_percent,AB_smpl7_suction_kPa,AB_smpl7_VWC_percent,AB_smpl8_suction_kPa,AB_smpl8_VWC_percent,BC_smpl1_suction_kPa,BC_smpl1_VWC_percent
7.261059574,16.27,6.123503917,22.51,6.839116473,16.74,30.76096815,6.32,9.66050879,13.4,69.18309709,3.08,12.67651866,11.26,7.655966069,16.16,44.25883724,7.73,7.261059574,16.96,6.637430704,19.45,5.821032178,20.69,10.51961874,13.49,36.39150361,5.64,41.11497211,12.61,23.06747189,21.28,47.75292737,11.42,67.45280277,16.76,,,81.09610579,17.88,86.29785478,8.27,,,62.66138647,15.79
7.550922277,15.49,6.165950019,22.13,7.014552984,16.24,35.48133892,5.89,10.28016298,12.84,74.47319739,2.79,13.86755829,10.57,8.035261222,15.52,57.67664634,7.18,7.533555637,16.45,6.776415076,19.09,5.847900841,20.37,11.09174815,12.91,41.39996748,5.3,44.15704474,12.3,24.32204009,21.12,51.99959965,11.1,71.77942913,16.3,,,86.69618758,17.46,86.89604293,7.79,,,72.27698036,15.25
7.90678628,14.7,6.208690342,21.75,7.19448978,15.75,40.92606597,5.53,10.99005839,12.28,79.9834255,2.52,15.4525444,9.84,8.472274141,14.88,68.07693587,6.7,7.816278046,15.96,6.950243176,18.69,5.888436554,20.07,11.72195366,12.35,46.98941086,4.99,47.3151259,11.99,25.88212915,20.95,57.01642723,10.76,76.207901,15.88,,,90.36494737,17.02,,,,,,
8.298507675,14.03,6.251726928,21.37,7.396052751,15.24,46.77351413,5.2,11.85768748,11.69,82.98507675,2.27,17.37800829,9.09,8.933054837,14.25,75.8577575,6.27,8.14704284,15.43,7.128530301,18.26,5.956621435,19.75,12.47383514,11.78,52.96634439,4.7,50.69907083,11.67,27.79713268,20.74,62.66138647,10.39,79.61593504,15.45,,,,,,,,,,
8.749837752,13.38,6.309573445,20.98,7.655966069,14.71,52.36004366,4.9,12.8528666,11.09,84.13951416,2.03,19.90673339,8.32,9.462371614,13.61,81.65823714,5.88,8.53100114,14.91,7.362070975,17.81,6.011737375,19.44,13.36595517,11.21,58.47900841,4.42,54.45026528,11.36,29.78516429,20.52,68.07693587,10.01,,,,,,,,,,,,
9.289663868,12.68,6.367955209,20.6,7.943282347,14.12,57.01642723,4.62,14.06047524,10.48,,,23.22736796,7.57,10.09252886,12.99,84.33347578,5.54,8.953647655,14.4,7.6207901,17.31,6.067363296,19.14,14.45439771,10.64,62.80583588,4.17,58.34451043,11.06,31.9889511,20.3,73.11390835,9.63,,,,,,,,,,,,
10,11.93,6.426877173,20.2,8.298507675,13.51,59.97910763,4.35,15.55965632,9.85,,,27.41574172,6.88,10.78946722,12.38,84.13951416,5.23,9.484184633,13.87,7.925013305,16.8,6.151768727,18.81,15.73982864,10.06,66.68067692,3.92,62.66138647,10.75,34.27677865,20.07,77.09034691,9.24,,,,,,,,,,,,
10.93956366,11.14,6.486344335,19.8,8.689604293,12.89,62.23002852,4.1,17.37800829,9.23,,,32.80952931,6.24,11.58777356,11.78,,,10.09252886,13.36,8.260379496,16.27,6.237348355,18.49,17.33803998,9.48,70.79457844,3.7,67.29766563,10.41,36.72823005,19.84,79.79946873,8.84,,,,,,,,,,,,
12.16186001,10.26,6.561452663,19.4,9.162204901,12.26,64.71426157,3.85,19.54339456,8.62,,,39.90249024,5.62,12.58925412,11.2,,,10.71519305,12.99,8.689604293,15.73,6.324118514,18.18,19.18668741,8.9,75.1622894,3.51,71.9448978,10.08,39.35500755,19.61,,,,,,,,,,,,,,
13.77209469,9.4,6.652731562,18.99,9.682778563,11.63,67.45280277,3.61,22.33572223,8.02,,,49.3173804,5.05,13.80384265,10.63,,,11.32400363,12.69,9.141132415,15.2,6.412095766,17.89,21.3796209,8.33,79.79946873,3.31,,,41.9758984,19.39,,,,,,,,,,,,,,
