CM_smpl1_suction_kPa,CM_smpl1_VWC_percent,CM_smpl2_suction_kPa,CM_smpl2_VWC_percent,CM_smpl3_suction_kPa,CM_smpl3_VWC_percent,CM_smpl4_suction_kPa,CM_smpl4_VWC_percent,CM_smpl5_suction_kPa,CM_smpl5_VWC_percent,CM_smpl6_suction_kPa,CM_smpl6_VWC_percent,CM_smpl7_suction_kPa,CM_smpl7_VWC_percent,CM_smpl8_suction_kPa,CM_smpl8_VWC_percent,CM_smpl9_suction_kPa,CM_smpl9_VWC_percent,CM_smpl10_suction_kPa,CM_smpl10_VWC_percent,CM_smpl11_suction_kPa,CM_smpl11_VWC_percent,CM_smpl12_suction_kPa,CM_smpl12_VWC_percent,CM_smpl13_suction_kPa,CM_smpl13_VWC_percent,CM_smpl14_suction_kPa,CM_smpl14_VWC_percent,AB_smpl1_suction_kPa,AB_smpl1_VWC_percent,AB_smpl2_suction_kPa,AB_smpl2_VWC_percent,AB_smpl3_suction_kPa,AB_smpl3_VWC_percent,AB_smpl4_suction_kPa,AB_smpl4_VWC_percent,AB_smpl5_suction_kPa,AB_smpl5_VWC_percent,AB_smpl6_suction_kPa,AB_smpl6_VWC_percent,AB_smpl7_suction_kPa,AB_smpl7_VWC_percent,AB_smpl8_suction_kPa,AB_smpl8_VWC_percent,BC_smpl1_suction_kPa,BC_smpl1_VWC_percent
3.235936569,31.96,1.644371723,33.34,2.443430553,30.27,4.897788194,31.14,3.854783577,29.92,4.083193863,28.29,3.556313186,29.44,3.25836701,29.22,3.681289736,29.27,1.00461579,28.92,2.393315756,29.49,1.986094917,30.15,3.388441561,30,4.345102242,28.85,1.22179966,21.98,1.807174126,27.62,1.161448614,22.1,2.167704105,31.42,2.818382931,30.56,3.334264128,33.02,2.824879975,24.54,2.697739432,23.88,1.109174815,30.03
3.784425847,31.83,1.99986187,33.25,2.79898132,30.22,4.965923215,30.94,3.854783577,29.8,4.246195639,28.11,4.120975191,29.28,3.698281798,29.1,4.216965034,29.09,1.258925412,28.83,2.818382931,29.4,2.296148648,30.09,4.017908108,29.87,4.886523593,28.66,1.435489433,21.89,2.055890596,27.55,1.324341535,21.98,2.483133105,31.23,3.318944576,30.32,3.89045145,32.82,3.311311215,24.31,3.213660539,23.64,1.129795915,29.93
4.265795188,31.66,2.398832919,33.16,3.184197522,30.15,5.011872336,30.74,3.801893963,29.65,4.178303666,27.92,4.111497211,29.13,4.13047502,28.97,4.56036916,28.9,1.555965632,28.72,3.280952931,29.3,2.624218543,30.02,4.623810214,29.73,5.420008904,28.45,1.678804018,21.81,2.31739465,27.48,1.432187899,21.85,2.837919028,31.04,3.899419867,30.08,4.518559444,32.61,3.88150366,24.07,3.828247433,23.37,1.288249552,29.8
4.487453899,31.48,2.831391996,33.06,3.614098626,30.07,5.069907083,30.51,4.017908108,29.5,4.32513831,27.7,4.017908108,28.97,4.487453899,28.83,4.909078762,28.69,1.883649089,28.62,3.76703799,29.19,2.96483139,29.95,5.081594426,29.59,5.888436554,28.21,1.954339456,21.71,2.483133105,27.4,1.573982864,21.73,3.235936569,30.87,4.581418867,29.82,5.248074602,32.4,4.549880602,23.83,4.549880602,23.11,1.345860354,29.68
4.539416167,31.33,3.296097122,32.95,3.962780343,29.98,5.116818355,30.29,4.13047502,29.34,4.415704474,27.46,4.187935651,28.8,4.742419853,28.68,5.140436516,28.46,2.269864852,28.51,4.226686143,29.07,3.3419504,29.88,5.445026528,29.43,6.053408748,27.96,2.25943577,21.61,2.511886432,27.32,1.435489433,21.6,3.672823005,30.69,5.382697825,29.56,6.095368972,32.19,5.308844442,23.58,5.357966575,22.85,1.358313447,29.56
4.645152752,31.18,3.775721909,32.84,4.216965034,29.88,5.164163693,30.06,4.187935651,29.16,4.477133042,27.21,4.285485204,28.58,4.920395357,28.52,5.296634439,28.22,2.710191632,28.39,3.917418771,28.94,3.706807218,29.8,5.780960474,29.26,6.151768727,27.71,2.387811283,21.5,2.529297996,27.23,1.367728826,21.47,4.19758984,30.46,6.295061829,29.3,7.063175543,31.96,6.194410751,23.33,6.309573445,22.59,1.419057522,29.42
4.720630413,30.98,4.13047502,32.72,4.466835922,29.78,5.211947111,29.8,4.246195639,28.97,4.518559444,26.93,4.385306978,28.37,5.035006088,28.36,5.382697825,27.96,3.191537855,28.27,3.630780548,28.81,3.981071706,29.71,5.956621435,29.07,6.309573445,27.44,2.322736796,21.39,2.588212915,27.14,1.671090614,21.32,4.797334486,30.24,7.362070975,29.04,8.128305162,31.74,7.227698036,23.07,7.430191379,22.31,1.462177174,29.27
4.698941086,30.76,4.385306978,32.59,4.655860935,29.67,5.248074602,29.46,4.32513831,28.77,4.549880602,26.64,4.477133042,28.16,5.093308711,28.19,5.457578611,27.69,3.689775986,28.14,4.187935651,28.69,4.207266284,29.62,6.053408748,28.88,6.426877173,27.15,2.306747189,21.27,2.618183008,27.05,1.807174126,21.17,5.432503315,30.03,8.590135215,28.77,9.332543008,31.52,8.413951416,22.8,8.7096359,22.04,1.592208727,29.12
4.698941086,30.55,4.613175746,32.45,4.797334486,29.57,5.272298614,29.14,4.395416154,28.55,4.602565736,26.32,4.549880602,27.94,4.988844875,28.01,5.54625713,27.39,4.083193863,28.01,4.698941086,28.54,4.415704474,29.52,5.623413252,28.68,6.531305526,26.84,2.477422058,21.14,2.618183008,26.96,1.972422736,21.02,6.123503917,29.81,10.02305238,28.5,10.69054879,31.29,9.81747943,22.53,10.13911386,21.76,1.671090614,28.96
4.775292737,30.33,4.775292737,32.31,4.909078762,29.46,5.308844442,28.88,4.446312675,28.32,4.655860935,25.98,4.613175746,27.7,4.988844875,27.83,5.623413252,27.09,4.405548635,27.86,4.954501908,28.39,4.528975799,29.42,5.445026528,28.46,6.60693448,26.53,2.594179362,21.01,2.540972706,26.85,2.249054606,20.85,6.918309709,29.6,11.69499391,28.22,12.2179966,31.04,11.40249788,22.25,11.77605974,21.47,1.741806873,28.79
4.83058802,30.09,4.897788194,32.16,4.965923215,29.34,5.357966575,28.58,4.477133042,28.08,4.709773264,25.61,4.677351413,27.44,5.081594426,27.64,5.66239289,26.78,4.634469197,27.71,4.954501908,28.24,4.56036916,29.3,5.874893525,28.23,6.683439176,26.19,2.600159563,20.88,2.488857318,26.75,2.529297996,20.68,7.834296428,29.38,13.58313447,27.93,13.93156803,30.8,13.15224832,21.97,13.27394458,21.18,1.794733627,28.6
4.875284901,29.87,5.035006088,32,4.988844875,29.21,5.407543229,28.24,4.528975799,27.84,4.764309868,25.21,4.742419853,27.16,5.116818355,27.43,5.688529308,26.46,4.698941086,27.56,4.93173804,28.08,4.581418867,29.2,6.039486294,28,6.760829754,25.83,2.831391996,20.75,2.552701303,26.64,2.844461107,20.51,8.830799004,29.15,15.73982864,27.62,15.41700453,30.56,14.55459081,21.68,14.52111618,20.87,1.840772001,28.4
4.909078762,29.64,5.05824662,31.84,5.023425895,29.08,5.445026528,27.87,4.581418867,27.59,4.83058802,24.8,4.797334486,26.89,5.188000389,27.22,5.754399373,26.12,4.808393484,27.4,4.965923215,27.92,4.623810214,29.09,6.095368972,27.75,6.823386941,25.46,3.213660539,20.61,2.552701303,26.54,2.322736796,20.33,9.954054174,28.92,18.15515663,27.31,15.70362804,30.3,14.25607594,21.39,15.55965632,20.57,1.914255925,28.19
4.94310687,29.36,5.081594426,31.67,5.05824662,28.94,5.495408739,27.47,4.623810214,27.32,4.886523593,24.37,4.852885002,26.61,5.22396189,27,5.834451043,25.77,4.93173804,27.23,4.97737085,27.76,4.655860935,28.96,6.137620052,27.49,6.8706844,25.08,2.857590543,20.46,2.540972706,26.42,1.698243652,20.14,11.24604974,28.68,17.70108958,26.98,15.4525444,29.89,14.25607594,21.09,16.59586907,20.26,1.990673339,27.98
4.97737085,29.06,5.236004366,31.5,5.093308711,28.8,5.520774393,27.06,4.655860935,27.06,4.886523593,23.9,4.909078762,26.32,5.284452518,26.78,5.888436554,25.4,5.035006088,27.05,5.035006088,27.59,4.709773264,28.84,6.194410751,27.22,6.918309709,24.69,2.238721139,20.31,2.523480772,26.3,1.958844674,19.95,12.67651866,28.43,17.06082389,26.66,16.33051948,29.53,15.99558029,20.79,18.07174126,19.95,2.065380156,27.74
5.00034535,28.73,5.308844442,31.3,5.116818355,28.64,5.533501092,26.54,4.688133821,26.79,4.93173804,23.42,4.954501908,26.02,5.321082593,26.55,5.929253246,25.04,5.069907083,26.87,5.093308711,27.41,4.753352259,28.71,6.237348355,26.94,6.966265141,24.27,2.301441817,20.15,2.523480772,26.18,2.454708916,19.76,14.22328787,28.19,18.83649089,26.37,17.74189481,29.31,17.90605854,20.48,20.23019179,19.62,2.13796209,27.5
5.035006088,28.4,5.357966575,31.11,5.152286446,28.47,5.571857489,25.98,4.720630413,26.51,5.023425895,22.92,5.00034535,25.71,5.12861384,26.32,5.984115951,24.67,5.00034535,26.69,5.116818355,27.23,4.808393484,28.58,6.266138647,26.65,7.014552984,23.83,2.612161354,19.98,2.588212915,26.05,2.999162519,19.56,15.92208727,27.93,20.60629913,26.05,19.498446,29.03,19.81527026,20.17,22.08004733,19.28,2.223309891,27.26
5.069907083,28.1,5.407543229,30.91,5.188000389,28.29,5.623413252,25.49,4.764309868,26.23,5.093308711,22.41,5.046612976,25.39,5.05824662,26.08,6.039486294,24.28,4.688133821,26.49,5.152286446,27.05,4.852885002,28.44,6.280583588,26.36,7.079457844,23.37,2.999162519,19.82,2.728977783,25.92,3.467368505,19.36,17.49846689,27.68,22.5943577,25.71,21.3796209,28.72,21.77709772,19.85,23.55049284,18.95,2.31739465,27.02
5.093308711,27.78,5.445026528,30.71,5.211947111,28.1,5.675446054,24.99,4.797334486,25.95,5.164163693,21.88,5.093308711,25.07,5.260172664,25.84,6.053408748,23.87,4.634469197,26.29,5.17606832,26.85,4.897788194,28.3,6.309573445,26.06,7.144963261,22.9,3.404081897,19.64,3.061963434,25.79,3.732501578,19.15,16.6341265,27.44,24.49063242,25.37,23.1739465,28.41,24.26610095,19.53,26.48500139,18.61,2.398832919,26.8
5.12861384,27.44,5.470159629,30.49,4.94310687,27.89,5.72796031,24.48,4.83058802,25.67,5.22396189,21.34,5.140436516,24.75,5.357966575,25.61,6.067363296,23.48,5.035006088,26.09,5.188000389,26.65,4.94310687,28.15,6.338697113,25.76,7.19448978,22.41,3.801893963,19.46,3.380648362,25.66,3.76703799,18.93,15.73982864,27.17,27.16439269,25.02,25.06109253,28.1,27.28977783,19.2,30.1995172,18.27,2.488857318,26.57
5.164163693,27.06,5.495408739,30.27,4.886523593,27.65,5.780960474,23.96,4.864072057,25.38,5.308844442,20.77,5.17606832,24.42,5.407543229,25.37,6.137620052,23.09,5.248074602,25.87,5.22396189,26.46,4.954501908,27.98,6.382634862,25.44,7.261059574,21.91,4.265795188,19.27,3.404081897,25.53,4.083193863,18.72,17.21868575,26.87,29.92264637,24.66,26.79168325,27.78,30.40885026,18.86,33.49654392,17.92,2.594179362,26.31
5.211947111,26.69,5.508076964,30.04,5.188000389,27.39,5.834451043,23.43,4.909078762,25.08,5.407543229,20.18,5.22396189,24.08,5.445026528,25.13,6.180164001,22.69,5.321082593,25.65,5.260172664,26.26,4.786300923,27.81,6.412095766,25.12,7.328245331,21.39,4.775292737,19.07,3.647539469,25.39,4.655860935,18.5,19.05460718,26.57,31.84197522,24.29,28.24879975,27.44,33.18944576,18.51,36.0578643,17.57,2.703958364,26.03
5.236004366,26.36,5.520774393,29.8,5.284452518,27.13,5.902010802,22.88,4.954501908,24.77,5.533501092,19.57,5.236004366,23.72,5.482769649,24.89,6.237348355,22.28,5.357966575,25.43,5.284452518,26.04,4.786300923,27.63,6.441692655,24.79,7.396052751,20.86,5.236004366,18.87,3.935500755,25.25,5.093308711,18.27,21.28139046,26.26,33.18944576,23.92,29.37649652,27.09,35.31831698,18.14,37.84425847,17.22,2.818382931,25.74
5.188000389,26.02,5.54625713,29.56,5.333348955,26.84,5.970352866,22.31,5.00034535,24.45,5.688529308,18.96,5.272298614,23.35,5.508076964,24.65,6.295061829,21.86,5.382697825,25.2,5.321082593,25.82,4.988844875,27.43,6.486344335,24.43,7.498942093,20.32,5.675446054,18.66,4.10204103,25.11,5.597576015,18.03,23.55049284,25.91,34.43499308,23.54,30.26913428,26.74,36.98281798,17.77,39.08408958,16.85,2.951209227,25.43
5.199959965,25.66,5.559042573,29.31,5.370317964,26.54,6.053408748,21.76,5.046612976,24.13,5.874893525,18.33,5.333348955,22.96,5.559042573,24.4,6.353309319,21.44,5.420008904,24.97,5.370317964,25.58,5.05824662,27.23,6.531305526,24.07,7.603262769,19.76,6.180164001,18.44,4.436086439,24.97,6.237348355,17.79,25.64484037,25.56,35.56313186,23.16,31.18889584,26.37,38.19442708,17.39,38.19442708,16.48,3.118889584,25.12
5.284452518,25.31,5.584701947,29.06,5.407543229,26.22,6.137620052,21.17,5.093308711,23.79,6.095368972,17.66,5.395106225,22.57,5.584701947,24.15,6.441692655,21.01,5.457578611,24.73,5.395106225,25.33,5.093308711,27.01,6.561452663,23.71,7.709034691,19.17,6.839116473,18.22,4.786300923,24.82,6.854882265,17.54,27.9898132,25.22,36.72823005,22.77,31.9889511,26.01,39.44573021,17.01,38.8150366,16.11,3.296097122,24.8
5.308844442,24.91,5.597576015,28.8,5.445026528,25.89,6.251726928,20.57,5.152286446,23.45,6.367955209,16.98,5.445026528,22.15,5.61047976,23.9,6.516283941,20.59,5.495408739,24.48,5.432503315,25.09,5.12861384,26.79,6.60693448,23.34,7.852356346,18.56,7.709034691,18,5.236004366,24.67,7.550922277,17.28,30.1995172,24.89,37.84425847,22.36,32.96097122,25.64,40.83193863,16.64,41.78303666,15.73,3.50751874,24.48
5.345643594,24.51,5.623413252,28.54,5.457578611,25.54,6.367955209,19.98,5.12861384,23.1,6.683439176,16.28,5.508076964,21.73,5.636376558,23.64,6.622165037,20.17,5.533501092,24.22,5.470159629,24.84,5.17606832,26.54,6.652731562,22.96,7.99834255,17.93,8.649679188,17.77,5.649369748,24.52,8.394599865,17.02,31.55004623,24.57,38.99419867,21.96,33.88441561,25.27,41.9758984,16.26,43.2513831,15.34,3.732501578,24.14
5.382697825,24.14,5.649369748,28.28,5.482769649,25.2,6.516283941,19.38,5.152286446,22.74,7.04693069,15.55,5.597576015,21.36,5.66239289,23.39,6.745280277,19.75,5.559042573,23.96,5.508076964,24.59,5.211947111,26.3,6.714288529,22.58,8.222426499,17.28,9.638290236,17.54,6.180164001,24.36,9.375620069,16.75,32.73406949,24.23,40.08667176,21.56,34.8337315,24.92,42.26686143,15.88,44.46312675,14.95,3.999447498,23.78
5.420008904,23.8,5.66239289,28.02,5.520774393,24.84,6.698846094,18.74,5.260172664,22.36,7.498942093,14.8,5.688529308,20.96,5.688529308,23.14,6.886522963,19.32,5.584701947,23.7,5.54625713,24.33,5.236004366,26.05,6.776415076,22.18,8.472274141,16.62,10.69054879,17.3,6.714288529,24.2,10.44720219,16.46,34.04081897,23.88,41.49540426,21.17,35.89219346,24.57,43.35108784,15.49,45.81418867,14.54,4.295364268,23.43
5.457578611,23.45,5.701642723,27.75,5.559042573,24.46,6.902398038,18.06,5.333348955,21.93,8.035261222,14.01,5.807644175,20.47,5.72796031,22.88,7.04693069,18.9,5.623413252,23.43,5.571857489,24.07,5.260172664,25.78,6.839116473,21.77,8.81048873,15.96,11.45512941,17.06,7.177942913,24.04,11.56112242,16.17,35.15604405,23.53,43.15190768,20.75,36.89775986,24.24,45.08167045,15.1,47.09773264,14.13,4.613175746,23.06
5.495408739,23.03,5.714786367,27.47,5.597576015,24.06,7.177942913,17.33,5.420008904,21.46,8.669618758,13.22,5.942921586,19.96,5.767664634,22.62,7.227698036,18.47,5.675446054,23.11,5.61047976,23.79,5.284452518,25.5,6.902398038,21.35,9.204495718,15.27,12.53141175,16.82,7.709034691,23.89,12.8528666,15.88,36.30780548,23.17,44.97798549,20.28,38.01893963,23.89,46.45152752,14.72,48.52885002,13.71,4.954501908,22.69
5.54625713,22.61,5.741164622,27.19,5.649369748,23.63,7.481695005,16.56,5.533501092,20.97,9.418895965,12.43,6.109420249,19.47,5.794286964,22.36,7.447319739,18.01,5.714786367,22.82,5.649369748,23.5,5.308844442,25.22,6.982324041,20.91,9.66050879,14.57,14.12537545,16.57,8.375292821,23.74,14.28893959,15.57,37.41105883,22.8,46.98941086,19.77,39.26449354,23.53,47.86300923,14.34,49.88844875,13.3,5.370317964,22.3
5.61047976,22.19,5.754399373,26.91,5.688529308,23.19,7.852356346,15.76,5.66239289,20.44,10.3038612,11.62,6.295061829,18.97,5.821032178,22.12,7.673614894,17.55,5.741164622,22.55,5.688529308,23.23,5.333348955,24.93,7.079457844,20.46,10.18591388,13.86,15.59552503,16.32,8.974287945,23.57,15.7761127,15.26,38.8150366,22.27,49.4310687,19.24,40.64433292,23.17,49.3173804,13.95,51.52286446,12.88,5.929253246,21.9
5.675446054,21.77,5.780960474,26.63,5.72796031,22.73,8.298507675,14.95,5.794286964,19.93,11.40249788,10.8,6.501296903,18.47,5.888436554,21.84,7.943282347,17.04,5.780960474,22.23,5.741164622,22.95,5.370317964,24.64,7.177942913,20.01,10.78946722,13.12,17.06082389,16.05,9.66050879,23.41,17.37800829,14.96,40.17908108,21.74,52.11947111,18.69,42.16965034,22.8,50.93308711,13.55,53.21082593,12.46,6.683439176,21.49
