date,Air temperature (°C),Wind speed (m.s-1),Atmospheric pressure (Pa),Shortwave radiation (W.m-2),Longwave radiation (W.m-2),Specific humidity (kg.kg-1),Relative humidity (%),Precipitation (mm),Snow depth (cm),Field snow depth (cm)
2019-07-01,20.1708333333333,1.75408959532033,100185.833333333,290.759721050677,365.952195472371,0.0107283370393581,74.9166666666667,0.0,0.0,
2019-07-02,23.1166666666667,2.35519003887437,99745.8333333333,289.626982911692,370.356597074277,0.0110766523881931,64.8333333333333,0.0,0.0,
2019-07-03,21.8833333333333,1.3105848330039,100112.916666667,313.964515330554,353.366450369274,0.0104292762497214,68.4166666666667,0.0,0.0,
2019-07-04,23.9541666666667,2.11775782805222,100736.666666667,313.822923063181,366.220236510384,0.0118466435471343,67.4583333333333,0.0,0.0,
2019-07-05,23.15,2.2960560903685,100737.916666667,260.61145981308,386.177110158857,0.0139144965233645,78.5833333333333,0.4,0.0,
2019-07-06,23.3416666666667,3.4573216422008,100118.75,223.383585206827,391.470920659627,0.0133610841303917,74.0,18.5,0.0,
2019-07-07,17.6541666666667,2.19691584276824,100612.916666667,355.957514319555,309.182321989429,0.0076727680004695,63.375,0.0,0.0,
2019-07-08,18.1916666666667,1.82317100039125,100550.833333333,350.854746837686,320.634984522741,0.0083350186450125,68.7083333333333,0.0,0.0,
2019-07-09,20.5583333333333,2.04317865589446,100559.166666667,292.545961962153,352.038428862752,0.0097084582659056,66.6666666666667,0.0,0.0,
2019-07-10,22.0875,1.22632467220563,100609.166666667,270.974924613504,371.751628840303,0.0117535964764256,73.25,0.0,0.0,
2019-07-11,21.1916666666667,2.45748090519909,100099.583333333,156.639168709719,385.446089146092,0.0136222972685059,86.2083333333333,18.7,0.0,
2019-07-12,21.075,2.07909265963129,99646.25,199.661434565394,402.259572439678,0.0131830201621326,84.7083333333333,0.1,0.0,
2019-07-13,21.5833333333333,2.49973834107921,100015.416666667,310.136078255043,366.969533048468,0.012504020366685,78.75,9.1,0.0,
2019-07-14,19.0083333333333,2.7086261200917,100238.333333333,257.229582965437,365.873001529321,0.0109310438360879,80.8333333333333,3.0,0.0,
2019-07-15,19.75,2.39631752603768,100633.333333333,292.044943169909,346.823812305031,0.0100166070425108,71.8333333333333,0.0,0.0,
2019-07-16,21.0791666666667,2.9079349304871,100395.833333333,224.28759737544,370.429699175554,0.0117631043763393,76.0,0.0,0.0,
2019-07-17,22.4833333333333,2.6458972923684,100122.083333333,165.766424098847,394.02340236253,0.0138892706632914,81.1666666666667,10.5,0.0,
2019-07-18,19.1166666666667,1.61433563719396,100525.0,332.970554297175,325.861784764007,0.0091017725192629,68.9166666666667,0.0,0.0,
2019-07-19,23.7166666666667,3.5725800088234,99724.1666666667,239.721154519109,399.694907053229,0.0155652048033793,84.1666666666667,9.5,0.0,
2019-07-20,26.5041666666667,3.16395717922988,99621.6666666667,294.353986299379,403.502308161377,0.017210881193801,79.8333333333333,0.0,0.0,
2019-07-21,23.2833333333333,2.48661431406626,99627.9166666667,245.068985540662,397.33127244529,0.0152217677259227,84.8333333333333,6.6,0.0,
2019-07-22,17.4,1.14297113156381,100315.0,211.359134192988,344.606381899645,0.0091073864630499,74.6666666666667,0.0,0.0,
2019-07-23,18.4125,1.88067695072016,100123.333333333,259.092065867037,351.155111805661,0.0101688347610643,79.1666666666667,0.8,0.0,
2019-07-24,16.0666666666667,1.79731363546197,100594.166666667,226.231768123601,345.063270032623,0.0086853511264389,78.875,0.0,0.0,
2019-07-25,18.2541666666667,1.79697664253239,100887.5,254.827960276532,346.866455197442,0.0097289256149537,76.9583333333333,0.0,0.0,
2019-07-26,21.6291666666667,2.07057589505163,101300.833333333,314.944769489291,351.11246891325,0.0122076840081254,77.625,0.0,0.0,
2019-07-27,22.5708333333333,2.21030455798946,101187.083333333,285.891125395617,364.551071864572,0.0122360165504596,74.3333333333333,0.0,0.0,
2019-07-28,23.6666666666667,3.54054291206007,100443.75,196.845926787244,384.252088158577,0.0135827630024209,74.4166666666667,0.0,0.0,
2019-07-29,23.6166666666667,2.4865569138492,100277.083333333,277.896608145473,382.327066158297,0.0140284175256793,78.6666666666667,0.0,0.0,
2019-07-30,23.7916666666667,2.9002271214718,100260.416666667,273.087916911225,397.879538204863,0.0145191603525156,79.5833333333333,0.0,0.0,
2019-07-31,22.4333333333333,1.94807824310769,100491.25,191.819401295499,403.362195800597,0.0141088257954797,84.2916666666667,0.7,0.0,
2019-08-01,18.7756122874963,2.14101915779122,100845.619480834,294.686183542062,338.417070658239,0.00867830524068,68.7873190584099,0.0005771872864171,0.0,
2019-08-02,19.4083333333333,2.60857928922355,100933.75,303.867897495564,336.839283639022,0.0091171330154851,68.5,0.0,0.0,
2019-08-03,19.25,2.84722222222222,100429.166666667,262.267000170057,348.590446419212,0.0103866827333029,76.5,0.0,0.0,
2019-08-04,15.7458333333333,2.11805555555556,100515.0,255.846335430331,328.724950397335,0.007758724410935,72.2083333333333,0.0,0.0,
2019-08-05,16.0291666666667,1.70138888888889,100477.5,299.636467043683,324.381467213159,0.0078793981775714,73.1666666666667,0.0,0.0,
2019-08-06,21.3458333333333,2.68518518518518,99954.1666666667,267.326200800427,359.63495555373,0.010757995246294,70.2083333333333,0.0,0.0,
2019-08-07,21.1416666666667,1.64351851851852,99858.75,160.876045018038,399.700998895002,0.0142502876903308,90.3333333333333,5.1,0.0,
2019-08-08,21.125,2.68518518518519,99246.6666666667,152.963215614456,395.515903596924,0.013518310040872,86.375,7.0,0.0,
