0.025	0.025
0.025	0.050
0.025	0.075
0.025	0.100
0.025	0.125
0.025	0.150
0.050	0.200
0.050	0.250
0.050	0.300
0.050	0.350
0.050	0.400
0.050	0.450
0.050	0.500
0.050	0.550
0.050	0.600
0.050	0.650
0.050	0.700
0.050	0.750
0.050	0.800
0.050	0.850
0.050	0.900
0.050	0.950
0.050	1.000
0.050	1.050
0.050	1.100
0.050	1.150
0.050	1.200
0.050	1.250
0.050	1.300
0.050	1.350
0.050	1.400
0.050	1.450
0.050	1.500
0.050	1.550
0.050	1.600
0.050	1.650
0.050	1.700
0.050	1.750
0.025	1.775
0.025	1.800
0.025	1.825
0.025	1.850
0.025	1.875
0.025	1.900
